,brand_model,year,km,fuel_type,transmission,body_type,power,displacement,drivewheel,hard_hit,painted_parts,changed_parts,listing_price,age
0,Renault Megane1.5 dCi Touch,2018,69283,Dizel,Yarı Otomatik,Sedan,113.0,1.5,Önden Çekiş,1,,,684000,5.0
1,Mercedes - Benz CLA180 d Comfort,2016,126000,Dizel,Yarı Otomatik,Coupe,109.0,1.5,Önden Çekiş,0,"front-bumper,front-right-mudguard",,1055000,7.0
2,Renault Symbol1.5 DCI Joy,2013,202000,Dizel,Manuel,Sedan,75.0,1.5,Önden Çekiş,0,rear-left-mudguard,,325000,10.0
3,Volkswagen Passat1.6 TDI BlueMotion Highline,2016,205000,Dizel,Yarı Otomatik,Sedan,120.0,1.6,Önden Çekiş,0,,,885000,7.0
4,Honda Civic1.6i VTEC Eco Elegance,2017,183000,Benzin & LPG,Otomatik,Sedan,138.0,1.7,Önden Çekiş,0,rear-right-door,"front-left-door,rear-left-door",656000,6.0
5,Renault Clio1.5 dCi Touch,2012,141000,Dizel,Manuel,Hatchback 5 kapı,75.0,1.5,Önden Çekiş,1,"front-hood,rear-right-door,rear-right-mudguard,rear-left-mudguard,rear-hood,rear-bumper",,385000,11.0
6,Peugeot 3011.5 BlueHDI Active,2019,94700,Dizel,Manuel,Sedan,100.0,1.5,Önden Çekiş,0,"front-left-mudguard,front-left-door,rear-left-door,rear-left-mudguard",,490000,4.0
7,Seat Alhambra1.9 TDI,2002,234000,Dizel,Manuel,MPV,115.0,1.9,Önden Çekiş,0,,,225000,21.0
8,Volkswagen Passat1.6 TDI BlueMotion Comfortline,2018,118756,Dizel,Yarı Otomatik,Sedan,120.0,1.6,Önden Çekiş,0,,,912750,5.0
9,Fiat Egea1.3 Multijet Easy,2018,138000,Dizel,Manuel,Sedan,95.0,1.2,Önden Çekiş,0,"front-right-door,rear-right-door,rear-right-mudguard,front-left-door,rear-hood",front-right-mudguard,425000,5.0
10,Hyundai Getz1.4 DOHC 1.4 AB AC,2007,72000,Benzin,Otomatik,Hatchback 5 kapı,97.0,1.4,Önden Çekiş,0,"front-right-mudguard,front-right-door,rear-right-door,rear-right-mudguard,front-left-door",front-left-mudguard,372500,16.0
11,Fiat Egea1.3 Multijet Easy,2017,91000,Dizel,Manuel,Sedan,95.0,1.2,Önden Çekiş,0,,,465000,6.0
12,Volkswagen Polo1.6 TDI Comfortline,2013,149000,Dizel,Manuel,Hatchback 5 kapı,90.0,1.6,Önden Çekiş,0,,,515000,10.0
13,BMW 3 Serisi316ti Compact,2002,240000,Benzin & LPG,Manuel,Hatchback 3 kapı,115.0,1.6,Arkadan İtiş,0,,,265000,21.0
14,Skoda Superb1.5 TSI Prestige,2022,30000,Benzin,Yarı Otomatik,Sedan,150.0,1.5,Önden Çekiş,0,,,1625000,1.0
15,Chevrolet Cruze1.6 Design Edition Plus,2011,142000,Benzin & LPG,Manuel,Sedan,124.0,1.6,Önden Çekiş,1,,,365000,12.0
16,Mercedes - Benz C SerisiC 180 Komp. BlueEfficiency Fascination,2009,230000,Benzin & LPG,Yarı Otomatik,Sedan,156.0,1.6,Arkadan İtiş,0,,,635000,14.0
17,Chevrolet Aveo1.4 LS,2011,123000,Benzin & LPG,Manuel,Hatchback 5 kapı,100.0,1.4,Önden Çekiş,0,"front-right-mudguard,rear-right-door,rear-right-mudguard,front-left-mudguard,rear-left-door,rear-left-mudguard,rear-hood",,285000,12.0
18,Hyundai i201.2 MPI Style,2014,83400,Benzin,Manuel,Hatchback 5 kapı,84.0,1.2,Önden Çekiş,1,"front-left-mudguard,rear-left-mudguard","front-hood,front-left-door",365000,9.0
19,Hyundai i201.4 MPI Jump,2021,33500,Benzin,Otomatik,Hatchback 5 kapı,100.0,1.4,Önden Çekiş,0,,,575000,2.0
20,Honda Civic1.6i VTEC Premium,2009,230000,Benzin & LPG,Manuel,Sedan,125.0,1.6,Önden Çekiş,0,,,399000,14.0
21,Hyundai Getz1.4 DOHC Start,2008,218000,Benzin & LPG,Manuel,Hatchback 5 kapı,97.0,1.4,Önden Çekiş,0,,,220000,15.0
22,Skoda Superb1.6 TDI Prestige,2014,179000,Dizel,Yarı Otomatik,Sedan,113.0,3.3,Önden Çekiş,0,,,712500,9.0
23,Ford Fiesta1.4 Titanium,2014,119000,Benzin & LPG,Manuel,Hatchback 5 kapı,96.0,1.4,Önden Çekiş,0,,,445000,9.0
24,Volkswagen Golf1.2 TSI Comfortline,2015,123000,Benzin,Yarı Otomatik,Hatchback 5 kapı,110.0,1.2,Önden Çekiş,0,,,708000,8.0
25,Hyundai i201.4 MPI Elite Smart,2016,69800,Benzin,Otomatik,Hatchback 5 kapı,100.0,1.4,Önden Çekiş,0,,,595000,7.0
26,Toyota Corolla1.6 Terra Special,2000,266700,Benzin & LPG,Manuel,Sedan,110.0,1.6,Önden Çekiş,0,"front-bumper,front-hood,front-right-mudguard,front-left-mudguard",,260000,23.0
27,Volkswagen Passat1.6 TDI BlueMotion Trendline,2017,83000,Dizel,Yarı Otomatik,Sedan,120.0,1.6,Önden Çekiş,0,"front-right-mudguard,front-right-door,rear-right-door",,830000,6.0
28,Citroën C-Elysée1.6 HDi  Confort,2015,107000,Dizel,Manuel,Sedan,92.0,1.6,Önden Çekiş,0,front-left-mudguard,"front-hood,front-right-mudguard",368000,8.0
29,Renault Clio1.4 RTA,2001,163000,Benzin & LPG,Manuel,Hatchback 5 kapı,75.0,1.4,Önden Çekiş,0,,,210000,22.0
30,Opel Corsa1.2 Essentia,2015,44000,Benzin & LPG,Manuel,Hatchback 5 kapı,70.0,1.2,Önden Çekiş,0,,,439500,8.0
31,Volkswagen Golf1.6 TDI BlueMotion Highline,2017,100000,Dizel,Yarı Otomatik,Hatchback 5 kapı,115.0,1.6,Önden Çekiş,0,,,965000,6.0
32,Renault Fluence1.5 dCi Icon,2014,141000,Dizel,Yarı Otomatik,Sedan,110.0,1.5,Önden Çekiş,0,,,540000,9.0
33,Toyota Yaris1.0 Life,2012,50600,Benzin,Manuel,Hatchback 5 kapı,69.0,1.0,Önden Çekiş,0,,,378000,11.0
34,Renault Clio1.5 dCi Touch,2018,150000,Dizel,Yarı Otomatik,Hatchback 5 kapı,90.0,1.5,Önden Çekiş,0,,,505000,5.0
35,Mercedes - Benz A SerisiA 180 CDI BlueEfficiency AMG,2014,108000,Dizel,Yarı Otomatik,Hatchback 5 kapı,109.0,1.5,Önden Çekiş,0,,,799000,9.0
36,Fiat PuntoGrande 1.4 Fire Active,2009,94000,Benzin,Manuel,Hatchback 5 kapı,77.0,1.4,Önden Çekiş,0,"front-right-door,rear-right-door,front-left-mudguard,front-left-door,rear-left-door",,300000,14.0
37,BMW 3 Serisi320i ED Sport Line,2016,110000,Benzin,Yarı Otomatik,Sedan,170.0,1.6,Arkadan İtiş,1,,,1150000,7.0
38,Citroën C41.4 SX,2009,125000,Benzin,Manuel,Hatchback 5 kapı,90.0,1.4,Önden Çekiş,0,"rear-left-mudguard,rear-bumper",,335000,14.0
39,Volkswagen Polo1.4 TDI Trendline,2014,125000,Dizel,Manuel,Hatchback 5 kapı,75.0,1.4,Önden Çekiş,0,,,400000,9.0
40,Honda Civic1.6 i ES,2000,309000,Benzin & LPG,Otomatik,Sedan,125.0,1.6,Önden Çekiş,0,,,249750,23.0
41,Renault Megane1.5 Blue DCI Touch,2019,127000,Dizel,Yarı Otomatik,Sedan,115.0,1.5,Önden Çekiş,0,,,720000,4.0
42,Fiat Linea1.3 Multijet Easy,2014,219000,Dizel,Manuel,Sedan,95.0,1.2,Önden Çekiş,0,,,312500,9.0
43,Opel Corsa1.3 CDTI  Essentia,2007,296000,Dizel,Manuel,Hatchback 5 kapı,75.0,1.2,Önden Çekiş,0,,,275000,16.0
44,Renault Clio1.5 dCi Grandtour Authentique Edition,2012,220000,Dizel,Manuel,Station Wagon,75.0,1.5,Önden Çekiş,0,,,290000,11.0
