"id";"ilan_no";"brand";"model";"year";"loc1";"loc2";"loc3";"loc4";"loc5";"km";"date";"listing_price";"otoendeks_price";"arabam_price";"fuel_Type";"transmission";"body_type";"power";"displacement";"drivewheel";"hard_hit";"owner";"painted_parts";"changed_parts"
"1";"1075821234";"Renault";"Megane1.5 dCi Touch";"2018";"Türkiye";"Konya";"Selçuklu";"Merkez";"0";"69283";"1678924800";"684000";"572422";NULL;"Dizel";"Yarı Otomatik";"Sedan";"101 - 125 HP";"1301 - 1600 cm3";"Önden Çekiş";"Belirtilme";"Sahibinden";;
"2";"1085683933";"Mercedes - Benz";"CLA180 d Comfort";"2016";"Türkiye";"İstanbul";"Sancaktepe";"Samandıra";"0";"126000";"1678924800";"1055000";"0";NULL;"Dizel";"Yarı Otomatik";"Coupe";"109 hp";"1461 cc";"Önden Çekiş";"Hayır";"Sahibinden";"0107";
"3";"1084164222";"Volkswagen";"Polo1.6 Classic";"1999";"Türkiye";"Ankara";"Gölbaşı";"Gölbaşı";"0";"185000";"1678924800";"215000";"0";NULL;"Benzin & LPG";"Otomatik";"Sedan";"100 hp";"1595 cc";"Önden Çekiş";"Hayır";"Sahibinden";;
"4";"1085687851";"Renault";"Symbol1.5 DCI Joy";"2013";"Türkiye";"Sivas";"Merkez";"Ferhatbostan";"0";"202000";"1678924800";"325000";"330048";NULL;"Dizel";"Manuel";"Sedan";"75 hp";"1461 cc";"Önden Çekiş";"Hayır";"Sahibinden";"12";
"5";"1085684672";"Volkswagen";"Passat1.6 TDI BlueMotion Highline";"2016";"Türkiye";"Batman";"Merkez";"Köyler";"0";"205000";"1678924800";"885000";"0";NULL;"Dizel";"Yarı Otomatik";"Sedan";"120 hp";"1598 cc";"Önden Çekiş";"Hayır";"Sahibinden";;
"6";"1085688023";"Honda";"Civic1.6i VTEC Eco Elegance";"2017";"Türkiye";"İstanbul";"Sancaktepe";"Yenidoğan";"0";"183000";"1678924800";"656000";"0";NULL;"Benzin & LPG";"Otomatik";"Sedan";"126 - 150 HP";"1601 - 1800 cm3";"Önden Çekiş";"Hayır";"Sahibinden";"10";"0811"
"7";"1022135135";"Renault";"Clio1.5 dCi Touch";"2012";"Türkiye";"İstanbul";"Pendik";"Esenyalı";"0";"141000";"1678924800";"385000";"310191";NULL;"Dizel";"Manuel";"Hatchback 5 kapı";"75 hp";"1461 cc";"Önden Çekiş";"Evet";"Sahibinden";"021013120405";
"8";"1085687040";"Peugeot";"3011.5 BlueHDI Active";"2019";"Türkiye";"İzmir";"Torbalı";"Ayrancılar";"0";"94700";"1678924800";"490000";"406335";NULL;"Dizel";"Manuel";"Sedan";"100 hp";"1499 cc";"Önden Çekiş";"Hayır";"Sahibinden";"06081112";
"9";"1085687440";"Mercedes - Benz";"C SerisiC 200 Elegance";"1998";"Türkiye";"İzmir";"Bornova";"Kazımdirik";"0";"333000";"1678924800";"345000";"0";NULL;"Benzin & LPG";"Otomatik";"Sedan";"136 hp";"1998 cc";"Arkadan İtiş";"Hayır";"Sahibinden";"01091013060811120405";"0207"
"10";"1085336431";"Seat";"Alhambra1.9 TDI";"2002";"Türkiye";"İstanbul";"Diğer";"Diğer";"0";"234000";"1678924800";"225000";"0";NULL;"Dizel";"Manuel";"MPV";"115 hp";"1896 cc";"Önden Çekiş";"Hayır";"Sahibinden";;
"11";"1085688169";"Volkswagen";"Passat1.6 TDI BlueMotion Comfortline";"2018";"Türkiye";"İstanbul";"Küçükçekmece";"Halkalı";"0";"118756";"1678924800";"912750";"0";NULL;"Dizel";"Yarı Otomatik";"Sedan";"120 hp";"1598 cc";"Önden Çekiş";"Hayır";"Sahibinden";;
"12";"1085661733";"Fiat";"Egea1.3 Multijet Easy";"2018";"Türkiye";"İstanbul";"Sancaktepe";"Samandıra";"0";"138000";"1678924800";"425000";"383269";NULL;"Dizel";"Manuel";"Sedan";"95 hp";"1248 cc";"Önden Çekiş";"Hayır";"Sahibinden";"0910130804";"07"
"13";"1085688647";"Hyundai";"Getz1.4 DOHC 1.4 AB AC";"2007";"Türkiye";"Ankara";"Çankaya";"Merkez";"0";"72000";"1678924800";"372500";"0";NULL;"Benzin";"Otomatik";"Hatchback 5 kapı";"97 hp";"1399 cc";"Önden Çekiş";"Hayır";"Sahibinden";"0709101308";"06"
"14";"1085689790";"Fiat";"Egea1.3 Multijet Easy";"2017";"Türkiye";"Bursa";"Yıldırım";"Duaçınarı";"0";"91000";"1678924800";"465000";"412550";NULL;"Dizel";"Manuel";"Sedan";"95 hp";"1248 cc";"Önden Çekiş";"Hayır";"Sahibinden";;
"15";"1085689451";"Volkswagen";"Polo1.6 TDI Comfortline";"2013";"Türkiye";"Nevşehir";"Merkez";"Siteler";"0";"149000";"1678924800";"515000";"410800";NULL;"Dizel";"Manuel";"Hatchback 5 kapı";"90 hp";"1598 cc";"Önden Çekiş";"Hayır";"Sahibinden";;
"16";"1085690409";"BMW";"3 Serisi316ti Compact";"2002";"Türkiye";"Muğla";"Bodrum";"Bodrum";"0";"240000";"1678924800";"265000";"0";NULL;"Benzin & LPG";"Manuel";"Hatchback 3 kapı";"115 hp";"1596 cc";"Arkadan İtiş";"Hayır";"Sahibinden";;
"17";"1085686086";"Skoda";"Superb1.5 TSI Prestige";"2022";"Türkiye";"İstanbul";"Beyoğlu";"Kasımpaşa";"0";"30000";"1678924800";"1625000";"0";NULL;"Benzin";"Yarı Otomatik";"Sedan";"150 hp";"1498 cc";"Önden Çekiş";"Hayır";"Sahibinden";;
"18";"1076203681";"Chevrolet";"Cruze1.6 Design Edition Plus";"2011";"Türkiye";"Ordu";"Altınordu";"Merkez";"0";"142000";"1678924800";"365000";"367850";NULL;"Benzin & LPG";"Manuel";"Sedan";"124 hp";"1598 cc";"Önden Çekiş";"Belirtilme";"Sahibinden";;
